LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
2,42,1.3052e+06,5.5104e+06,-4.2052e+06,76,31.5789,24,52,17173.7,229600,-80869.2,2.83915,4,10,21.8333,9.98077,-1.4812e+06,1.31038,110.386,0
2,43,1.3168e+06,5.5956e+06,-4.2788e+06,76,32.8947,25,51,17326.3,223824,-83898,2.66781,4,10,23.44,8.88235,-1.4812e+06,1.30775,111.367,0
2,44,1.3168e+06,5.5956e+06,-4.2788e+06,76,32.8947,25,51,17326.3,223824,-83898,2.66781,4,10,23.44,8.88235,-1.4812e+06,1.30775,111.367,0
2,45,1.2956e+06,5.5956e+06,-4.3e+06,76,32.8947,25,51,17047.4,223824,-84313.7,2.65466,4,10,23.44,8.88235,-1.4812e+06,1.3013,109.574,0
2,46,1.2734e+06,5.5956e+06,-4.3222e+06,76,32.8947,25,51,16755.3,223824,-84749,2.64102,4,10,23.44,8.86275,-1.4812e+06,1.29462,107.696,0
2,47,1.333e+06,5.5654e+06,-4.2324e+06,75,33.3333,25,50,17773.3,222616,-84648,2.6299,4,10,23.4,8.98,-1.4812e+06,1.31495,112.737,0
2,48,1.2346e+06,5.541e+06,-4.3064e+06,75,33.3333,25,50,16461.3,221640,-86128,2.57338,4,10,23.4,8.98,-1.5552e+06,1.28669,98.2649,0
2,49,1.3574e+06,5.4934e+06,-4.136e+06,73,34.2466,25,48,18594.5,219736,-86166.7,2.55013,4,10,23.4,9.3125,-1.3852e+06,1.32819,124.991,0
2,50,1.3574e+06,5.4934e+06,-4.136e+06,73,34.2466,25,48,18594.5,219736,-86166.7,2.55013,4,10,23.4,9.3125,-1.3852e+06,1.32819,124.991,0
3,1,-1.4478e+06,7.635e+06,-9.0828e+06,329,36.7781,121,208,-4400.61,63099.2,-43667.3,1.445,5,15,6.45455,2.97115,-3.1118e+06,0.8406,-51.2786,0
3,2,-858400,7.1324e+06,-7.9908e+06,253,36.7589,93,160,-3392.89,76692.5,-49942.5,1.53562,5,13,8.2043,3.41875,-2.4912e+06,0.892576,-37.6425,0
3,3,300800,6.6588e+06,-6.358e+06,206,41.7476,86,120,1460.19,77427.9,-52983.3,1.46136,5,8,9,3.98333,-1.6018e+06,1.04731,21.0762,0
3,4,932600,6.6212e+06,-5.6886e+06,172,41.2791,71,100,5422.09,93256.3,-56886,1.63935,5,8,10.5915,4.44,-1.8534e+06,1.16394,56.8728,0
3,5,1.1494e+06,6.4414e+06,-5.292e+06,155,41.2903,64,91,7415.48,100647,-58153.8,1.7307,6,12,11.4688,4.89011,-1.745e+06,1.2172,73.1543,0
